24165 93285 214210 214301,8
54715 299892 425858 559365,1
74094 145196 361471 637136,1
23459 52206 364954 398443 758323,2
14029 243001 254996 483812 500105,2
7359 132500 353983 655690,1
436 118891 119238 686693 720701,34
8376 77512,5
13237 29058 88302 302744,3
47530 163466 177814 589860 730426,1
51833 58277,1
51427 177630 715538,1
11158 194337 318040 451571,1
57451 204421 295586 439772 606263,1
88297 88917 322667 459484 595059,1
36596 214264 514010 612689,1
26529 54524 213692 706257 806731,1
495 194598 528314,1
31590 34618 501302 645463 673991,1
20411 625844,3
6968 171323 349234,2
3105 62658 490237 698045 757719,1
9357 80197 431387 484771 640498,5
208071 373815 636718 677402,1
52041 361316 495252 540484,3
17450 378175,5
68945 146419 359190 512917 695310,1
52315 235638 642084,1
7348 423120 697787 766068,1
194922 279733 561982 608026 768824,3
137536 193068 404431 585572,1
2253 173372 239097 697486 803854,1
4003 687823,1
29776 362615,1
2014 8939 132056 206270,3
4026 407160 606626 730271,1
47430 339711 396810 439955 466805,1
14303 154654 398076 666178,1
58948 156894 259050 418020,1
30243 323458 731687,1
79995 160641 350875 391019 555119,1
12317 118794 322878 379357 428939,1
47270 79607 261491 613977 693683,1
26859 38903 236872,1
3469 332312 466001 709349 712015,1
16780 98241 159606 328297,1
4928 209102 301477 313809 428865,1
9742 526481 742593,6
570 62925 462852 476524,3
113838 131764 313964 423210,1
12694 772420,1
262220 463102 572115,1
2638 378813 383711 510864,1
33592 258753 534925 652186 755201,1
10782 414267 451042 464672 515857,1
12060 101239 188992 328733,1
11577 63595 204734,1
86936 374708 393523 811014,1
2279 358657 514704,2
228194 520545 541208 715317,1
63 365912 473038 550376,1
2747 132062 162329 638449,1
43 141664 277781 478003 486560,4
30397 130569 364720 666854 674059,1
168435 196758 400396 480128 725788,1
119917 124654 160255 258809 508915,6
16614 191616 283225 653732 768894,1
87644 211557 213529 635734 684826,1
143296 179142 184539 219292 497871,1
1780 46868 96697 152922 418612,1
